"ID","PredictedMonthlyIncome"
1045,2485.24155877072
1046,1935.47012573968
1047,5784.01419993146
1048,12489.3702803728
1049,2886.81160395983
1050,5784.01419993146
1051,9952.95973083724
1052,2253.40585947322
1053,5829.43359046483
1054,2795.97282289311
1055,2530.66094930408
1056,2427.87895199552
1057,5473.28293580907
1058,16151.4980458005
1059,6329.04688633181
1060,2795.97282289311
1061,6056.53054313164
1062,5609.54110740916
1063,5882.05745060933
1064,2659.71465129302
1065,5745.79927900925
1066,2382.45956146216
1067,3431.84429036018
1068,19593.7333281724
1069,5427.86354527571
1070,2705.13404182638
1071,2750.55343235974
1072,6056.53054313164
1073,2614.29526075966
1074,5920.27237153155
1075,5738.5948093981
1076,16424.0143890006
1077,19275.7975944389
1078,5552.17850063396
1079,5920.27237153155
1080,6063.73501274278
1081,2886.81160395983
1082,2705.13404182638
1083,2303.56399663727
1084,6147.36932419836
1085,8597.58248444752
1086,9051.77638978114
1087,5738.5948093981
1088,2795.97282289311
1089,2795.97282289311
1090,5738.5948093981
1091,5784.01419993146
1092,5882.05745060933
1093,12451.8625262474
1094,5784.01419993146
1095,5473.28293580907
1096,5829.43359046483
1097,3295.58611876009
1098,2530.66094930408
1099,2518.71773306224
1100,5920.27237153155
1101,19048.7006417721
1102,5829.43359046483
1103,5791.21866954261
1104,9998.3791213706
1105,2886.81160395983
1106,2621.4997303708
1107,2932.23099449319
1108,5920.27237153155
1109,5518.70232634244
1110,5738.5948093981
1111,5882.05745060933
1112,12845.5209350286
1113,12890.9403255619
1114,6018.31562220942
1115,9544.18521603698
1116,2621.4997303708
1117,6283.62749579845
1118,5286.86662704493
1119,9498.76582550361
1120,2886.81160395983
1121,9317.08826337017
1122,16113.2831248782
1123,5654.96049794252
1124,15886.1861722114
1125,2614.29526075966
1126,2303.56399663727
1127,2162.56707840649
1128,5506.7591101006
1129,16151.4980458005
1130,2337.04017092879
1131,12406.4431357141
1132,16106.0786552671
1133,5920.27237153155
1134,2071.72829733977
1135,2609.55651412897
1136,2427.87895199552
1137,2927.4922478625
1138,5654.96049794252
1139,9180.83009177008
1140,15841.4739484749
1141,5920.27237153155
1142,5920.27237153155
1143,9635.0239971037
1144,5647.75602833138
1145,5836.63806007597
1146,5829.43359046483
1147,5370.50093850051
1148,2337.04017092879
1149,2659.71465129302
1150,5965.69176206491
1151,2439.82216823735
1152,5564.1217168758
1153,6109.15440327614
1154,2200.78199932871
1155,6192.78871473172
1156,12305.1296404085
1157,2750.55343235974
1158,6147.36932419836
1159,2705.13404182638
1160,5784.01419993146
1161,2795.97282289311
1162,8862.89435803654
1163,2389.6640310733
1164,8953.73313910327
1165,2621.4997303708
1166,1980.88951627304
1167,9044.57192016999
1168,5738.5948093981
1169,2795.97282289311
1170,2886.81160395983
